"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"FRS","Frisch&#39;s Restaurants, Inc.","27.11","$139.12M","nan","Consumer Services","Restaurants","http://www.nasdaq.com/symbol/frs","AMEX"
"GGN","GAMCO Global Gold, Natural Reources & Income Trust ","7.09","$799.24M","2005","nan","nan","http://www.nasdaq.com/symbol/ggn","AMEX"
"GGN^B","GAMCO Global Gold, Natural Reources & Income Trust ","22.35","nan","nan","nan","nan","http://www.nasdaq.com/symbol/ggn^b","AMEX"
"EGAS","Gas Natural Inc.","9.96","$104.1M","nan","Public Utilities","Oil/Gas Transmission","http://www.nasdaq.com/symbol/egas","AMEX"
"GST","Gastar Exploration Inc.","2.69","$215.73M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gst","AMEX"
"GST^A","Gastar Exploration Inc.","21.78","nan","nan","nan","nan","http://www.nasdaq.com/symbol/gst^a","AMEX"
"GST^B","Gastar Exploration Inc.","24.6","nan","nan","nan","nan","http://www.nasdaq.com/symbol/gst^b","AMEX"
"JOB","General Employment Enterprises, Inc.","0.832","$24.12M","nan","Technology","Diversified Commercial Services","http://www.nasdaq.com/symbol/job","AMEX"
"GMO","General Moly, Inc","0.51","$46.38M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gmo","AMEX"
"GIG","GigOptix, Inc.","1.32","$43.05M","nan","Technology","Semiconductors","http://www.nasdaq.com/symbol/gig","AMEX"
"GSB","GlobalSCAPE, Inc.","3.3","$68.44M","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gsb","AMEX"
"GSAT","Globalstar, Inc.","3.3","$3.31B","2006","Consumer Services","Telecommunications Equipment","http://www.nasdaq.com/symbol/gsat","AMEX"
"GLOW","Glowpoint, Inc.","0.92","$32.91M","nan","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/glow","AMEX"
"GORO","Gold Resource Corporation","3.46","$187.46M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/goro","AMEX"
"GSV","Gold Standard Ventures Corporation","0.46","$65.68M","nan","Basic Industries","Mining & Quarrying of Nonmetallic Minerals (No Fuels)","http://www.nasdaq.com/symbol/gsv","AMEX"
"AUMN","Golden Minerals Company","0.42","$22.33M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/aumn","AMEX"
"GSS","Golden Star Resources, Ltd","0.251","$65.13M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gss","AMEX"
"GV","Goldfield Corporation (The)","1.99","$50.65M","nan","Basic Industries","Water Supply","http://www.nasdaq.com/symbol/gv","AMEX"
"GRC","Gorman-Rupp Company (The)","30.2","$793.07M","nan","Capital Goods","Fluid Controls","http://www.nasdaq.com/symbol/grc","AMEX"
"GTE","Gran Tierra Energy Inc.","2.73","$753.68M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/gte","AMEX"
"GPL","Great Panther Silver Limited","0.6","$83.74M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/gpl","AMEX"
"GRH","GreenHunter Resources, Inc.","0.77","$27.32M","nan","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/grh","AMEX"
"GRH^C","GreenHunter Resources, Inc.","19.15","nan","nan","nan","nan","http://www.nasdaq.com/symbol/grh^c","AMEX"
"SIM","Grupo Simec, S.A. de C.V.","8.25","$1.37B","1993","Basic Industries","Steel/Iron Ore","http://www.nasdaq.com/symbol/sim","AMEX"
"GVP","GSE Systems, Inc.","1.49","$26.65M","nan","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/gvp","AMEX"
"HCHC","HC2 Holdings, Inc.","11.01","$262.21M","nan","Public Utilities","Telecommunications Equipment","http://www.nasdaq.com/symbol/hchc","AMEX"
"HEB","Hemispherx BioPharma, Inc.","0.2249","$48.37M","nan","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/heb","AMEX"
"HLM^","Hillman Group Capital Trust","29.3","nan","nan","nan","nan","http://www.nasdaq.com/symbol/hlm^","AMEX"
"HMG","HMG/Courtland Properties, Inc.","12.22","$12.74M","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/hmg","AMEX"
"HH","Hooper Holmes, Inc.","0.465","$32.95M","nan","Health Care","Hospital/Nursing Management","http://www.nasdaq.com/symbol/hh","AMEX"
"HUSA","Houston American Energy Corporation","0.204","$10.64M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/husa","AMEX"
"IBIO","iBio, Inc.","0.76","$56.23M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/ibio","AMEX"
"IBO","IBO (Listing Market - NYSE Amex Network B F)","153.82","nan","nan","nan","nan","http://www.nasdaq.com/symbol/ibo","AMEX"
"IEC","IEC Electronics Corp.","3.6","$36.51M","nan","Technology","Electrical Products","http://www.nasdaq.com/symbol/iec","AMEX"
"IG","IGI Laboratories, Inc.","8.33","$440.05M","nan","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ig","AMEX"
"IMUC","ImmunoCellular Therapeutics, Ltd.","0.4701","$42.43M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/imuc","AMEX"
"IMH","Impac Mortgage Holdings, Inc.","13.48","$129.49M","1997","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/imh","AMEX"
"IMO","Imperial Oil Limited","40.84","$34.62B","nan","Energy","Integrated oil Companies","http://www.nasdaq.com/symbol/imo","AMEX"
"IOT","Income Opportunity Realty Investors, Inc.","6.65","$27.72M","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iot","AMEX"
"IRT","Independence Realty Trust, Inc.","9.44","$301.08M","2013","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/irt","AMEX"
"IGC","India Globalization Capital Inc.","0.42","$6.32M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/igc","AMEX"
"IGC/WS","India Globalization Capital Inc.","0.0055","nan","nan","nan","nan","http://www.nasdaq.com/symbol/igc/ws","AMEX"
"INFU","InfuSystems Holdings, Inc.","2.98","$66.48M","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/infu","AMEX"
"IHT","InnSuites Hospitality Trust","2.37","$19.62M","nan","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/iht","AMEX"
"NSPR","InspireMD, Inc.","0.32","$25.01M","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/nspr","AMEX"
"IFMI","Institutional Financial Markets, Inc.","1.55","$23.84M","nan","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/ifmi","AMEX"
"IDN","Intellicheck Mobilisa, Inc.","1.62","$15.92M","1999","Technology","Computer Software: Prepackaged Software","http://www.nasdaq.com/symbol/idn","AMEX"
"INS","Intelligent Systems Corporation","2.98","$26.69M","1992","Capital Goods","Metal Fabrications","http://www.nasdaq.com/symbol/ins","AMEX"
"THM","International Tower Hill Mines Ltd","0.37","$43.04M","nan","Basic Industries","Precious Metals","http://www.nasdaq.com/symbol/thm","AMEX"
"INTT","inTest Corporation","4.17","$44.05M","1997","Capital Goods","Electrical Products","http://www.nasdaq.com/symbol/intt","AMEX"
"INUV","Inuvo, Inc","1.91","$46.21M","nan","Consumer Services","Advertising","http://www.nasdaq.com/symbol/inuv","AMEX"
"VKI","Invesco Advantage Municipal Income Trust II","11.71","$519.7M","nan","nan","nan","http://www.nasdaq.com/symbol/vki","AMEX"
"ISR","IsoRay, Inc.","1.52","$83.42M","nan","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/isr","AMEX"
"ISDR","Issuer Direct Corporation","7.93","$18.37M","nan","Miscellaneous","Publishing","http://www.nasdaq.com/symbol/isdr","AMEX"
"ITI","Iteris, Inc.","1.84","$59.9M","nan","Consumer Durables","Telecommunications Equipment","http://www.nasdaq.com/symbol/iti","AMEX"
"KIQ","Kelso Technologies Inc","4.4001","$199.09M","nan","Capital Goods","Railroads","http://www.nasdaq.com/symbol/kiq","AMEX"
"LTS","Ladenburg Thalmann Financial Services Inc","3.97","$735.78M","nan","Finance","Investment Bankers/Brokers/Service","http://www.nasdaq.com/symbol/lts","AMEX"
