indx,Symbol,Name,LastSale,MarketCap,IPOyear,Sector,Industry,Summary Quote,Exchange,minutedata
435,CAMP,CalAmp Corp.,16.69,$604.26M,1983.0,Technology,Radio And Television Broadcasting And Communications Equipment,http://www.nasdaq.com/symbol/camp,NASDAQ,True
436,CVGW,"Calavo Growers, Inc.",51.96,$899.76M,,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/cvgw,NASDAQ,True
437,CFNB,California First National Bancorp,13.808,$144.43M,,Finance,Major Banks,http://www.nasdaq.com/symbol/cfnb,NASDAQ,True
438,CALA,"Calithera Biosciences, Inc.",16.46,$295.4M,2014.0,Health Care,Major Pharmaceuticals,http://www.nasdaq.com/symbol/cala,NASDAQ,True
439,CALD,"Callidus Software, Inc.",12.77,$626.69M,2003.0,Technology,EDP Services,http://www.nasdaq.com/symbol/cald,NASDAQ,True
440,CALM,"Cal-Maine Foods, Inc.",38.74,$1.88B,1996.0,Consumer Non-Durables,Farming/Seeds/Milling,http://www.nasdaq.com/symbol/calm,NASDAQ,True
441,CLMT,"Calumet Specialty Products Partners, L.P.",24.73,$1.87B,2006.0,Energy,Integrated oil Companies,http://www.nasdaq.com/symbol/clmt,NASDAQ,True
442,ABCD,"Cambium Learning Group, Inc.",3.19,$145.09M,,Consumer Services,Publishing,http://www.nasdaq.com/symbol/abcd,NASDAQ,True
443,CAMB,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,10.04,$105.77M,2014.0,Finance,Business Services,http://www.nasdaq.com/symbol/camb,NASDAQ,True
444,CAMBU,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,10.73,,2013.0,Finance,Business Services,http://www.nasdaq.com/symbol/cambu,NASDAQ,True
445,CAMBW,CAMBRIDGE CAPITAL ACQUISITION CORPORATION,0.38,,2014.0,Finance,Business Services,http://www.nasdaq.com/symbol/cambw,NASDAQ,False
446,CAC,Camden National Corporation,40.7,$302.38M,,Finance,Major Banks,http://www.nasdaq.com/symbol/cac,NASDAQ,True
447,CAMT,Camtek Ltd.,3.18,$97.29M,2000.0,Capital Goods,Electronic Components,http://www.nasdaq.com/symbol/camt,NASDAQ,True
448,CSIQ,Canadian Solar Inc.,33.89,$1.84B,2006.0,Technology,Semiconductors,http://www.nasdaq.com/symbol/csiq,NASDAQ,True
449,CGIX,"Cancer Genetics, Inc.",7.97,$78.27M,,Health Care,Medical Specialities,http://www.nasdaq.com/symbol/cgix,NASDAQ,True
450,CPHC,Canterbury Park Holding Corporation,10.22,$43.07M,,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/cphc,NASDAQ,True
451,CBNJ,"Cape Bancorp, Inc.",9.7,$111.4M,,Finance,Major Banks,http://www.nasdaq.com/symbol/cbnj,NASDAQ,True
452,CPLA,Capella Education Company,66.92,$818.56M,2006.0,Consumer Services,Other Consumer Services,http://www.nasdaq.com/symbol/cpla,NASDAQ,True
453,CBF,Capital Bank Financial Corp.,27.57,$1.31B,2012.0,Finance,Major Banks,http://www.nasdaq.com/symbol/cbf,NASDAQ,True
454,CCBG,Capital City Bank Group,16.24,$284.53M,,Finance,Major Banks,http://www.nasdaq.com/symbol/ccbg,NASDAQ,True
455,CPLP,Capital Product Partners L.P.,9.73,$1.01B,2007.0,Transportation,Marine Transportation,http://www.nasdaq.com/symbol/cplp,NASDAQ,True
456,CSWC,Capital Southwest Corporation,47.23,$734.11M,,,,http://www.nasdaq.com/symbol/cswc,NASDAQ,True
457,CPTA,Capitala Finance Corp.,19.0,$246.51M,2013.0,,,http://www.nasdaq.com/symbol/cpta,NASDAQ,True
458,CLAC,Capitol Acquisition Corp. II,10.2999,$257.5M,2013.0,Finance,Business Services,http://www.nasdaq.com/symbol/clac,NASDAQ,True
