"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","Industry","Summary Quote","Exchange"
"KVHI","KVH Industries, Inc.","15.42","$246.57M","1996","Technology","Radio And Television Broadcasting And Communications Equipment","http://www.nasdaq.com/symbol/kvhi","NASDAQ"
"KYTH","Kythera Biopharmaceuticals, Inc.","46.67","$1.2B","2012","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/kyth","NASDAQ"
"FSTR","L.B. Foster Company","47.19","$488.9M","nan","Basic Industries","Metal Fabrications","http://www.nasdaq.com/symbol/fstr","NASDAQ"
"LJPC","La Jolla Pharmaceutical Company","17.46","$266.15M","1994","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","http://www.nasdaq.com/symbol/ljpc","NASDAQ"
"LSBK","Lake Shore Bancorp, Inc.","13.401","$80.34M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lsbk","NASDAQ"
"LBAI","Lakeland Bancorp, Inc.","11.63","$440.73M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/lbai","NASDAQ"
"LKFN","Lakeland Financial Corporation","40.81","$677.63M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/lkfn","NASDAQ"
"LAKE","Lakeland Industries, Inc.","9.04","$63.71M","1986","Health Care","Industrial Specialties","http://www.nasdaq.com/symbol/lake","NASDAQ"
"LACO","Lakes Entertainment, Inc.","8.51","$113.96M","nan","Consumer Services","Services-Misc. Amusement & Recreation","http://www.nasdaq.com/symbol/laco","NASDAQ"
"LRCX","Lam Research Corporation","70.75","$11.27B","1984","Technology","Industrial Machinery/Components","http://www.nasdaq.com/symbol/lrcx","NASDAQ"
"LAMR","Lamar Advertising Company","59.58","$6.56B","1996","Consumer Services","Real Estate Investment Trusts","http://www.nasdaq.com/symbol/lamr","NASDAQ"
"LANC","Lancaster Colony Corporation","96.3","$2.63B","nan","Consumer Non-Durables","Packaged Foods","http://www.nasdaq.com/symbol/lanc","NASDAQ"
"LNDC","Landec Corporation","14.49","$389.43M","1996","Basic Industries","Major Chemicals","http://www.nasdaq.com/symbol/lndc","NASDAQ"
"LARK","Landmark Bancorp Inc.","25.9","$86.44M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/lark","NASDAQ"
"LMRK","Landmark Infrastructure Partners LP","17.86","$140M","2014","Consumer Services","Real Estate","http://www.nasdaq.com/symbol/lmrk","NASDAQ"
"LE","Lands&#39; End, Inc.","34.78","$1.11B","nan","Consumer Services","Clothing/Shoe/Accessory Stores","http://www.nasdaq.com/symbol/le","NASDAQ"
"LSTR","Landstar System, Inc.","63.88","$2.86B","1993","Transportation","Trucking Freight/Courier Services","http://www.nasdaq.com/symbol/lstr","NASDAQ"
"LTRX","Lantronix, Inc.","1.79","$26.75M","2000","Technology","Computer Communications Equipment","http://www.nasdaq.com/symbol/ltrx","NASDAQ"
"LPSB","LaPorte Bancorp, Inc.","13.2999","$74.79M","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/lpsb","NASDAQ"
"LSCC","Lattice Semiconductor Corporation","6.29","$733.7M","nan","Technology","Semiconductors","http://www.nasdaq.com/symbol/lscc","NASDAQ"
"LAWS","Lawson Products, Inc.","23.24","$202.34M","nan","Consumer Durables","Industrial Specialties","http://www.nasdaq.com/symbol/laws","NASDAQ"
"LAYN","Layne Christensen Company","5.275","$104.13M","1992","Basic Industries","Engineering & Construction","http://www.nasdaq.com/symbol/layn","NASDAQ"
"LCNB","LCNB Corporation","15.2","$141.55M","nan","Finance","Major Banks","http://www.nasdaq.com/symbol/lcnb","NASDAQ"
"LDRH","LDR Holding Corporation","35.76","$949.37M","2013","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/ldrh","NASDAQ"
"LBIX","Leading Brands Inc","3.5","$10.25M","nan","Consumer Non-Durables","Beverages (Production/Distribution)","http://www.nasdaq.com/symbol/lbix","NASDAQ"
"LTRE","Learning Tree International, Inc.","1.51","$19.97M","1995","Consumer Services","Other Consumer Services","http://www.nasdaq.com/symbol/ltre","NASDAQ"
"LGCY","Legacy Reserves LP","10.28","$711.46M","2007","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcy","NASDAQ"
"LGCYO","Legacy Reserves LP","19.4099","$135.87M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyo","NASDAQ"
"LGCYP","Legacy Reserves LP","19.35","$38.7M","nan","Energy","Oil & Gas Production","http://www.nasdaq.com/symbol/lgcyp","NASDAQ"
"LTXB","LegacyTexas Financial Group, Inc.","23.04","$1.1B","nan","Finance","Savings Institutions","http://www.nasdaq.com/symbol/ltxb","NASDAQ"
"LMAT","LeMaitre Vascular, Inc.","8.28","$144.96M","2006","Health Care","Medical/Dental Instruments","http://www.nasdaq.com/symbol/lmat","NASDAQ"
"TREE","LendingTree, Inc.","55.86","$639.4M","nan","Finance","Finance: Consumer Services","http://www.nasdaq.com/symbol/tree","NASDAQ"
"LEVY","Levy Acquisition Corp.","13.5","$253.13M","2014","Finance","Business Services","http://www.nasdaq.com/symbol/levy","NASDAQ"
"LEVYU","Levy Acquisition Corp.","15.8","$296.25M","2013","Finance","Business Services","http://www.nasdaq.com/symbol/levyu","NASDAQ"
"LEVYW","Levy Acquisition Corp.","4.74","nan","2014","Finance","Business Services","http://www.nasdaq.com/symbol/levyw","NASDAQ"
"LXRX","Lexicon Pharmaceuticals, Inc.","0.9591","$695.49M","nan","Health Care","Major Pharmaceuticals","http://www.nasdaq.com/symbol/lxrx","NASDAQ"
"LGIH","LGI Homes, Inc.","17.6","$349.34M","2013","Capital Goods","Homebuilding","http://www.nasdaq.com/symbol/lgih","NASDAQ"
"LHCG","LHC Group","34.73","$618.35M","2005","Health Care","Medical/Nursing Services","http://www.nasdaq.com/symbol/lhcg","NASDAQ"
"LBRDA","Liberty Broadband Corporation","55.84","$5.76B","nan","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbrda","NASDAQ"
"LBRDK","Liberty Broadband Corporation","55.63","$5.73B","nan","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbrdk","NASDAQ"
"LBTYA","Liberty Global plc","52.08","$46.2B","nan","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtya","NASDAQ"
"LBTYB","Liberty Global plc","52.78","$46.82B","nan","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyb","NASDAQ"
"LBTYK","Liberty Global plc","50.07","$44.42B","nan","Consumer Services","Television Services","http://www.nasdaq.com/symbol/lbtyk","NASDAQ"
"LVNTA","Liberty Interactive Corporation","42.48","$6B","nan","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/lvnta","NASDAQ"
"LVNTB","Liberty Interactive Corporation","41.8399","$5.91B","nan","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/lvntb","NASDAQ"
"QVCA","Liberty Interactive Corporation","29.37","$13.93B","nan","Consumer Services","Catalog/Specialty Distribution","http://www.nasdaq.com/symbol/qvca","NASDAQ"
